"_"",""NE__PropId__c"",""NE__PropId__r.Name"",""Id"",""Name"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BbEAJ"",""Categoria de Tarifa BR"",""a1i1o000003OgBJAA0"",""A3_GER - Categoria de tarifa A3 gerador"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BbEAJ"",""Categoria de Tarifa BR"",""a1i1o000003OgBKAA0"",""A3_GERAZ - Categoria de tarifa A3 gerador azul"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BbEAJ"",""Categoria de Tarifa BR"",""a1i1o000003OgBLAA0"",""A3_GERVD - Categoria de tarifa A3 gerador verde"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BbEAJ"",""Categoria de Tarifa BR"",""a1i1o000003OgBMAA0"",""A3_LVAZ - Categoria de tarifa A3 horo azul livre"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BbEAJ"",""Categoria de Tarifa BR"",""a1i1o000003OgBNAA0"",""A3_LVVD - Categoria de tarifa A3 horo verde livre"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BbEAJ"",""Categoria de Tarifa BR"",""a1i1o000003OgBOAA0"",""A3_VD - Categoria de tarifa A3 horosazonal verde"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BbEAJ"",""Categoria de Tarifa BR"",""a1i1o000003OgBPAA0"",""A4_AZ - Categoria de tarifa A4 horosazonal azul"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BbEAJ"",""Categoria de Tarifa BR"",""a1i1o000003OgBRAA0"",""A4_GER - Categoria de tarifa A4 gerador"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BbEAJ"",""Categoria de Tarifa BR"",""a1i1o000003OgBSAA0"",""A4_GERAZ - Categoria de tarifa A4 gerador azul"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BbEAJ"",""Categoria de Tarifa BR"",""a1i1o000003OgBTAA0"",""A4_GERVD - Categoria de tarifa A4 gerador verde"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BbEAJ"",""Categoria de Tarifa BR"",""a1i1o000003OgBUAA0"",""A4_LVAZ - Categoria de tarifa A4 horo azul livre"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BbEAJ"",""Categoria de Tarifa BR"",""a1i1o000003OgBVAA0"",""A4_LVVD - Categoria de tarifa A4 horo verde livre"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BbEAJ"",""Categoria de Tarifa BR"",""a1i1o000003OgBWAA0"",""A4_VD - Categoria de tarifa A4 horosazonal verde"
"[NE__PropertyDomain__c]"",""a1D1o00000Jo2BbEAJ"",""Categoria de Tarifa BR"",""a1i1o000003OgBXAA0"",""B1_RESID - Categoria de tarifa B1 residencial"
